rank,feature,importance_tier,composite_score_norm,effect_size,cohens_d,abs_d,relative_diff,abs_diff,mean_CTRL,mean_HPMC,p_ttest,p_ttest_corrected,sig_ttest,p_mannwhitney,p_mannwhitney_corrected,sig_mwu,both_normal,preferred_test,neglog_p_ttest_corr,neglog_p_mwu_corr,abs_d_norm,p_ttest_normscore,p_mwu_normscore
1,median_thickness,🔴 HIGH,99.42115967868853,large,-5.5115604982105735,5.5115604982105735,-0.2999922371608295,-4.391584900944791,14.638995137031191,10.2474102360864,2.0157363410419172e-13,1.8813539183057894e-12,True,1.1340336640412429e-06,8.831479827098616e-06,True,False,unknown,11.725529497746297,5.0539665187445815,1.0,0.9768463871475409,1.0
2,skeleton_length,🔴 HIGH,99.16479025038751,large,5.4216710408347,5.4216710408347,0.3686087785502859,13363.75,36254.5625,49618.3125,4.44566340013681e-14,6.223928760191742e-13,True,1.8638894005781834e-06,8.831479827098616e-06,True,False,unknown,12.0,5.0539665187445815,0.9832958050077504,1.0,1.0
3,branch_density,🔴 HIGH,99.16479025038718,large,5.421671040834664,5.421671040834664,0.36860877851842894,0.004264881408292483,0.011570211173662125,0.015835092581954608,4.4456634001369583e-14,6.223928760191742e-13,True,1.8638894005781834e-06,8.831479827098616e-06,True,False,unknown,12.0,5.0539665187445815,0.9832958050077436,1.0,1.0
4,mean_thickness,🔴 HIGH,88.2388561586825,large,-4.377504650378239,4.377504650378239,-0.289953122794154,-5.109922570668681,17.623271380650287,12.513348809981606,3.35016776494623e-13,2.345117435462361e-12,True,2.701898189481836e-06,1.0807592757927344e-05,True,False,unknown,11.629835404421705,4.9662710283750995,0.7892579333850034,0.9687738840154677,0.9822644955618257
5,median_tortuosity,🔴 HIGH,74.52115081083808,large,-3.415598193401243,3.415598193401243,-0.027129597777279763,-0.027471431096427468,1.0126000142695388,0.9851285831731114,1.2555349818105106e-10,7.030995898138859e-10,True,1.5449101737495922e-06,8.831479827098616e-06,True,True,unknown,9.152983155430622,5.0539665187445815,0.610506459177525,0.7598331140784733,1.0
6,median_segment_length,🔴 HIGH,67.10368148171638,large,2.9212094356497507,2.9212094356497507,0.15525114155250008,2.125,13.6875,15.8125,3.288530154152267e-09,1.534647405271058e-08,True,1.8924599629497032e-06,8.831479827098616e-06,True,False,unknown,7.813991390567939,5.0539665187445815,0.5186339921214101,0.6468792750258351,1.0
7,mean_segment_length,🔴 HIGH,63.63211782239133,large,2.730371703902808,2.730371703902808,0.1780028718698161,3.3401968986607926,18.764848362129214,22.105045260790007,2.450642103395379e-08,9.802568413581515e-08,True,1.5449101737495922e-06,8.831479827098616e-06,True,False,unknown,7.008660118011458,5.0539665187445815,0.4831705376069416,0.5789436376817698,1.0
8,std_segment_length,🔴 HIGH,58.56260589254818,large,2.459222736600956,2.459222736600956,0.23531524219293742,4.1521726250588635,17.645149486977214,21.797322112036078,1.0377157931495876e-07,3.632005276023557e-07,True,4.667498163410239e-06,1.633624357193584e-05,True,False,unknown,6.43985352927368,4.786847799916869,0.4327828130174179,0.5309606033104151,0.9459780063566761
9,median_component_area,🔴 HIGH,57.067399658229945,large,-2.6451803370495384,2.6451803370495384,-0.21098064446946507,-122.96875,582.84375,459.875,1.8473509079063604e-07,5.747313935708676e-07,True,1.8817689343922967e-05,5.854392240331589e-05,True,True,unknown,6.240535079737328,4.232518183490053,0.46733939071701464,0.5141466208349819,0.8338705840601865
10,junction_density,🔴 HIGH,49.890601980032955,large,2.1797344710798785,2.1797344710798785,0.23877348707181836,0.0002210230609170624,0.0009256599775326375,0.0011466830384497,1.3755718914108997e-06,3.501455723592476e-06,True,4.3277467954588523e-05,0.00010098075856070656,True,False,unknown,5.455751360996995,3.9957613712371685,0.380845393195338,0.44794432132583045,0.7859889714848117
11,n_junctions,🔴 HIGH,49.89060198003254,large,2.1797344710798345,2.1797344710798345,0.23877348732977066,692.5625,2900.5,3593.0625,1.3755718914113298e-06,3.501455723592476e-06,True,4.3277467954588523e-05,0.00010098075856070656,True,False,unknown,5.455751360996995,3.9957613712371685,0.3808453931953298,0.44794432132583045,0.7859889714848117
12,std_thickness,🔴 HIGH,47.452885418219495,large,-2.031237573175594,2.031237573175594,-0.29004667055982475,-3.3585332631546443,11.579285694512485,8.220752431357841,1.0881613750524263e-05,2.3437321924206103e-05,True,2.6419988442200464e-05,7.39759676381613e-05,True,False,unknown,4.63009201466702,4.130909345367526,0.3532501533223791,0.3782938609085278,0.8133212491754939
13,mean_tortuosity,🔴 HIGH,45.0539862382496,large,-1.9028649559670903,1.9028649559670903,-0.04342263403993491,-0.044864263997025144,1.0331999656151898,0.9883357016181646,8.113519942959438e-06,1.8931546533572023e-05,True,7.00308737893331e-05,0.0001400617475786662,True,False,unknown,4.722813906714396,3.853680459174401,0.3293946168432834,0.3861156369237444,0.7572545789196726
14,n_segments,🔴 HIGH,44.169976274557975,large,1.851409597137447,1.851409597137447,0.17545037089367704,310.4375,1769.375,2079.8125,1.8143600589920206e-05,3.628720117984041e-05,True,5.9638231615657305e-05,0.00012845157578756958,True,False,unknown,4.440246527501454,3.891260563630812,0.3198326462587638,0.3622789927331674,0.7648547657316239
