feature,spearman_rho,abs_rho,p_spearman,p_kruskal,trend,mean_0HS,mean_24HS,mean_48HS,mean_72HS,p_spearman_corrected,p_kruskal_corrected,sig_spearman,sig_kruskal,neglog_p_spearman_corr,neglog_p_kruskal_corr,abs_rho_norm,p_spearman_normscore,p_kruskal_normscore,composite_score,composite_score_norm,rank,importance_tier
median_thickness,-0.9180964230557048,0.9180964230557048,1.3219689749223613e-26,1.603462091086272e-11,decreasing,14.638995137031191,12.714895241830504,11.773507282179008,10.247410236086402,3.7015131297826116e-25,2.203056029961221e-10,True,True,12.0,9.656974457368733,1.0,1.0,1.0,1.0,100.0,1,🔴 HIGH
branch_density,0.9108674366665477,0.9108674366665477,1.6309143102188335e-25,2.3604171749584507e-11,increasing,0.011570211173662172,0.013223007301879086,0.014249155879799837,0.01583509258195466,1.522186689537578e-24,2.203056029961221e-10,True,True,12.0,9.656974457368733,0.9917736195504752,1.0,1.0,0.9958868097752376,99.58868097752375,2,🔴 HIGH
skeleton_length,0.9108674366665477,0.9108674366665477,1.6309143102188335e-25,2.3604171749584507e-11,increasing,36254.5625,41433.5,44648.875,49618.3125,1.522186689537578e-24,2.203056029961221e-10,True,True,12.0,9.656974457368733,0.9917736195504752,1.0,1.0,0.9958868097752376,99.58868097752375,3,🔴 HIGH
mean_thickness,-0.8654753717163874,0.8654753717163874,2.830243964419508e-20,2.597700516765041e-10,decreasing,17.62327138065029,15.611153362508041,14.384510931578955,12.513348809981606,1.9811707750936558e-19,1.8183903617355289e-09,True,True,12.0,8.740312879227744,0.9401187435322212,1.0,0.9050298862300032,0.9463168433236113,94.63168433236113,4,🔴 HIGH
median_segment_length,0.7474029314644125,0.7474029314644125,1.3022364514403635e-12,9.227640936317637e-08,increasing,13.6875,14.1875,15.0,15.8125,7.292524128066036e-12,5.167478924337876e-07,True,True,11.137122125295896,6.286721285975455,0.8057556721653405,0.9273637553774957,0.6508271593863154,0.797425564773623,79.7425564773623,5,🔴 HIGH
mean_segment_length,0.7330818489450869,0.7330818489450869,5.679244794313848e-12,1.2763619903875898e-07,increasing,18.764848362129214,19.37151982623471,20.440270335835198,22.105045260790003,2.6503142373464625e-11,5.956355955142086e-07,True,True,10.576702630419868,6.225019356464732,0.7894586884789806,0.8801881715383637,0.6444345719743443,0.7758850301176673,77.58850301176673,6,🔴 HIGH
std_thickness,-0.7141684885491868,0.7141684885491868,3.4591266681727236e-11,4.3715129542057076e-07,decreasing,11.579285694512485,10.358424325126755,9.536819509580859,8.220752431357841,1.3836506672690894e-10,1.748605181682283e-06,True,True,9.858973543136075,5.75730823899081,0.7679358234713748,0.8197704147677318,0.5959776723974333,0.7379049335269787,73.79049335269787,7,🔴 HIGH
n_junctions,0.6793679054207307,0.6793679054207307,6.761310179970058e-10,9.641076484263117e-07,increasing,2900.5,3324.25,3471.5,3593.0625,2.1035187226573515e-09,2.999446017326303e-06,True,True,8.677053618132087,5.522958949891978,0.7283337518573801,0.720277511642546,0.5716980700028724,0.6871607713400447,68.71607713400448,8,🟡 MEDIUM
junction_density,0.6793679054207307,0.6793679054207307,6.761310179970058e-10,9.641076484263117e-07,increasing,0.0009256599775326797,0.001060894735498366,0.0011078878165849673,0.0011466830384497548,2.1035187226573515e-09,2.999446017326303e-06,True,True,8.677053618132087,5.522958949891978,0.7283337518573801,0.720277511642546,0.5716980700028724,0.6871607713400447,68.71607713400448,9,🟡 MEDIUM
n_segments,0.65596039230179,0.65596039230179,4.017452591816366e-09,3.041652930854548e-06,increasing,1769.375,1956.4375,2009.8125,2079.8125,1.1248867257085826e-08,6.551252466455949e-06,True,True,7.948891208109525,5.183675663783453,0.701696669156205,0.6589814876166105,0.5365468505666531,0.6497304191239184,64.97304191239184,10,🟡 MEDIUM
